worlwide_gross_income,imdb_mean_vote,quantity
483300241.0,7.3,1.0
483300241.0,7.3,1.0
483300241.0,7.3,1.0
483300241.0,7.3,1.0
480352922.0,8.0,1.0
480352922.0,8.0,1.0
480352922.0,8.0,1.0
480352922.0,8.0,1.0
477972810.0,7.6,1.0
477972810.0,7.6,1.0
477972810.0,7.6,1.0
477972810.0,7.6,1.0
477972810.0,7.6,1.0
477972810.0,7.6,1.0
473563783.0,7.8,2.0
471032795.0,7.6,2.0
469465557.0,8.2,2.0
468214302.0,7.3,2.0
467797307.0,7.7,3.0
467498436.0,7.4,4.0
465390831.0,7.2,2.0
465018780.0,7.6,2.0
464655305.0,6.7,1.0
464655305.0,6.7,1.0
464655305.0,6.7,1.0
464655305.0,6.7,1.0
464099495.0,6.7,2.0
460329656.0,6.8,3.0
459146310.0,7.0,2.0
459078964.0,6.3,1.0
459078964.0,6.3,1.0
459078964.0,6.3,1.0
459078964.0,6.3,1.0
459078964.0,6.3,1.0
458579816.0,7.3,4.0
458538452.0,7.4,12.0
457791318.0,7.2,2.0
455668718.0,7.1,2.0
455253530.0,6.8,2.0
452738764.0,7.3,18.0
452298689.0,7.3,3.0
450482018.0,7.0,1.0
450482018.0,7.0,1.0
450482018.0,7.0,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448889625.0,7.3,1.0
448585000.0,7.1,2.0
448558829.0,7.0,2.0
448038248.0,6.1,1.0
448038248.0,6.1,1.0
448038248.0,6.1,1.0
448038248.0,6.1,1.0
448038248.0,6.1,1.0
444492353.0,7.0,1.0
444492353.0,7.0,1.0
444492353.0,7.0,1.0
444492353.0,7.0,1.0
443283330.0,7.6,2.0
442889567.0,7.9,2.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
442806458.0,7.1,1.0
439981720.0,6.8,5.0
437497134.0,7.3,3.0
436699693.0,7.1,2.0
436170600.0,6.0,6.0
435897191.0,5.8,2.0
433438694.0,6.5,1.0
433438694.0,6.5,1.0
433438694.0,6.5,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
432098510.0,7.8,1.0
430760693.0,7.1,5.0
430728767.0,7.0,16.0
430674634.0,7.7,2.0
429907148.0,7.7,3.0
429703516.0,7.7,1.0
429703516.0,7.7,1.0
429703516.0,7.7,1.0
429703516.0,7.7,1.0
429703516.0,7.7,1.0
428452083.0,6.6,7.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427475725.0,8.3,1.0
427360076.0,7.3,1.0
427360076.0,7.3,1.0
423055651.0,7.6,2.0
417896004.0,6.4,2.0
417659834.0,7.0,5.0
417280078.0,7.6,2.0
415777324.0,6.3,3.0
414409465.0,7.2,2.0
412850602.0,6.7,6.0
411387347.0,6.7,2.0
407876078.0,7.4,1.0
407876078.0,7.4,1.0
407876078.0,7.4,1.0
407876078.0,7.4,1.0
407876078.0,7.4,1.0
406206357.0,6.2,2.0
404593087.0,7.1,3.0
404518955.0,7.3,3.0
404237321.0,7.3,8.0
400945479.0,7.7,10.0
399971235.0,7.9,1.0
399971235.0,7.9,1.0
399971235.0,7.9,1.0
399971235.0,7.9,1.0
399971235.0,7.9,1.0
399971235.0,7.9,1.0
399575869.0,6.6,1.0
399575869.0,6.6,1.0
399575869.0,6.6,1.0
399575869.0,6.6,1.0
399575869.0,6.6,1.0
397224597.0,7.4,5.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396770544.0,7.1,1.0
396449974.0,5.3,3.0
396300640.0,7.3,5.0
395984281.0,7.2,10.0
395096880.0,6.8,2.0
394075308.0,6.9,5.0
393585377.0,6.8,4.0
393479733.0,6.8,2.0
389966723.0,7.1,3.0
389336000.0,6.9,1.0
388672482.0,6.2,1.0
388672482.0,6.2,1.0
388672482.0,6.2,1.0
388672482.0,6.2,1.0
388672482.0,6.2,1.0
387168808.0,8.0,2.0
386951050.0,6.6,2.0
386951050.0,6.6,2.0
386600111.0,5.1,3.0
386360471.0,6.6,4.0
386204801.0,7.7,2.0
384847211.0,7.2,2.0
383809767.0,7.8,1.0
383809767.0,7.8,1.0
383809767.0,7.8,1.0
383809767.0,7.8,1.0
383809767.0,7.8,1.0
383809767.0,7.8,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383751508.0,6.9,1.0
383321006.0,7.0,3.0
382902261.0,7.4,7.0
381683797.0,7.1,5.0
381015552.0,6.4,2.0
380204704.0,6.3,12.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
379993819.0,7.2,1.0
378928472.0,7.0,6.0
378914309.0,6.4,2.0
378907656.0,7.0,2.0
378753875.0,7.4,2.0
378596947.0,6.9,4.0
377674666.0,7.5,2.0
377068167.0,6.9,8.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
376268152.0,6.5,1.0
375717854.0,6.8,8.0
375365438.0,6.1,4.0
375339582.0,7.1,1.0
375339582.0,7.1,1.0
375339582.0,7.1,1.0
375339582.0,7.1,1.0
375339582.0,7.1,1.0
375339582.0,7.1,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373975908.0,7.7,1.0
373005449.0,7.5,2.0
372727929.0,6.4,2.0
372545118.0,6.9,2.0
372214229.0,6.9,3.0
372214229.0,6.9,3.0
370307380.0,6.6,5.0
368447826.0,7.1,1.0
368361174.0,6.3,1.0
368361174.0,6.3,1.0
368174541.0,7.0,2.0
367480002.0,6.8,2.0
367014139.0,6.4,2.0
365010936.0,6.2,1.0
365010936.0,6.2,1.0
365010936.0,6.2,1.0
365010936.0,6.2,1.0
364461563.0,5.7,5.0
361928318.0,7.4,6.0
361338724.0,6.4,4.0
361294900.0,6.5,1.0
361294900.0,6.5,1.0
361294900.0,6.5,1.0
358934901.0,6.2,2.0
358553695.0,6.7,2.0
357780360.0,7.7,2.0
357494148.0,7.4,2.0
357424843.0,8.0,3.0
355328730.0,7.2,7.0
355322931.0,7.4,2.0
354473632.0,7.5,5.0
354219340.0,7.2,2.0
353966053.0,6.8,2.0
352676138.0,7.2,4.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
352298356.0,7.8,1.0
351563135.0,7.6,2.0
351202811.0,7.0,5.0
348801955.0,8.4,1.0
348801955.0,8.4,1.0
348801955.0,8.4,1.0
348801955.0,8.4,1.0
348801955.0,8.4,1.0
348801955.0,8.4,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
348186641.0,6.8,1.0
346289815.0,7.3,3.0
346159470.0,7.0,5.0
346082523.0,7.4,4.0
345524162.0,7.6,3.0
344724072.0,7.4,2.0
344243897.0,6.8,2.0
342645710.0,5.8,2.0
340697629.0,6.7,1.0
340697629.0,6.7,1.0
340697629.0,6.7,1.0
340697629.0,6.7,1.0
340697629.0,6.7,1.0
340697629.0,6.7,1.0
339162218.0,8.0,2.0
338506736.0,7.6,2.0
337022382.0,7.1,1.0
337022382.0,7.1,1.0
336785690.0,7.6,3.0
335723914.0,6.6,3.0
335367040.0,7.1,4.0
334763291.0,6.8,1.0
334763291.0,6.8,1.0
334763291.0,6.8,1.0
334763291.0,6.8,1.0
334763291.0,6.8,1.0
334763291.0,6.8,1.0
330843637.0,7.4,7.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
330750664.0,7.0,1.0
329119063.0,6.5,3.0
329088730.0,6.5,3.0
328605594.0,6.8,2.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
328051465.0,6.9,1.0
327923462.0,6.9,1.0
327923462.0,6.9,1.0
327923462.0,6.9,1.0
327923462.0,6.9,1.0
327923462.0,6.9,1.0
326753187.0,7.0,1.0
326753187.0,7.0,1.0
325577730.0,7.1,3.0
325409984.0,6.8,2.0
324947723.0,7.5,6.0
324418766.0,6.3,3.0
323396305.0,7.0,3.0
322631525.0,7.4,3.0
322309252.0,6.3,2.0
322198341.0,6.9,1.0
322198341.0,6.9,1.0
322198341.0,6.9,1.0
322198341.0,6.9,1.0
322198341.0,6.9,1.0
321440569.0,8.2,1.0
321440569.0,8.2,1.0
321440569.0,8.2,1.0
321414342.0,5.8,2.0
320686577.0,6.2,1.0
320686577.0,6.2,1.0
320686577.0,6.2,1.0
320686577.0,6.2,1.0
320686577.0,6.2,1.0
320686577.0,6.2,1.0
320482124.0,4.4,2.0
320191862.0,7.5,3.0
319035109.0,7.2,2.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315582923.0,8.3,1.0
315564022.0,6.9,5.0
315155608.0,6.5,1.0
315155608.0,6.5,1.0
315155608.0,6.5,1.0
315155608.0,6.5,1.0
315155608.0,6.5,1.0
315155608.0,6.5,1.0
315014969.0,7.3,3.0
315008877.0,6.6,2.0
314849433.0,6.9,5.0
314823137.0,6.9,1.0
314823137.0,6.9,1.0
314823137.0,6.9,1.0
314823137.0,6.9,1.0
314607847.0,6.9,9.0
314313121.0,6.0,2.0
314215551.0,6.7,3.0
313863420.0,7.0,7.0
313745087.0,6.7,2.0
313745087.0,6.7,2.0
313705765.0,6.8,2.0
312528851.0,6.7,4.0
312425180.0,6.9,8.0
312108901.0,7.9,2.0
311688887.0,7.0,3.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
310683577.0,7.3,1.0
309965524.0,7.1,3.0
309915409.0,7.0,2.0
307684643.0,8.0,1.0
307684643.0,8.0,1.0
307684643.0,8.0,1.0
307684643.0,8.0,1.0
307684643.0,8.0,1.0
307684643.0,8.0,1.0
307158780.0,6.1,1.0
307158780.0,6.1,1.0
307158780.0,6.1,1.0
307158780.0,6.1,1.0
307158780.0,6.1,1.0
306957606.0,6.8,5.0
306540865.0,7.1,2.0
306397072.0,8.2,1.0
306365736.0,7.7,9.0
306029731.0,7.6,3.0
305609192.0,7.0,2.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
304509460.0,6.6,1.0
303872712.0,7.0,2.0
303557838.0,6.5,3.0
302991877.0,6.9,2.0
302297710.0,6.7,2.0
301565375.0,7.5,2.0
300960268.0,7.1,4.0
300746419.0,7.4,2.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
300096757.0,7.2,1.0
299694298.0,7.3,3.0
299548582.0,6.9,3.0
298555276.0,6.8,2.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
298455573.0,7.3,1.0
297832432.0,6.1,2.0
297535552.0,7.0,3.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
297450309.0,6.5,1.0
296723399.0,7.2,2.0
295793966.0,6.7,9.0
295430670.0,7.2,2.0
294544036.0,5.7,1.0
294544036.0,5.7,1.0
294544036.0,5.7,1.0
294215839.0,7.2,11.0
294049238.0,6.4,3.0
293867994.0,7.3,1.0
293867994.0,7.3,1.0
293867994.0,7.3,1.0
293867994.0,7.3,1.0
293865799.0,7.7,1.0
293865799.0,7.7,1.0
293865799.0,7.7,1.0
293865799.0,7.7,1.0
293865799.0,7.7,1.0
292716667.0,6.6,2.0
292646273.0,5.3,3.0
292601092.0,7.1,1.0
292601092.0,7.1,1.0
292601092.0,7.1,1.0
292601092.0,7.1,1.0
292601092.0,7.1,1.0
292601092.0,7.1,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292494292.0,6.4,1.0
292163212.0,8.2,1.0
292163212.0,8.2,1.0
292163212.0,8.2,1.0
292163212.0,8.2,1.0
291760979.0,7.2,3.0
291537453.0,6.9,3.0
291295105.0,7.7,1.0
291295105.0,7.7,1.0
291295105.0,7.7,1.0
291295105.0,7.7,1.0
291295105.0,7.7,1.0
291295105.0,7.7,1.0
290834938.0,6.2,2.0
290217741.0,6.9,4.0
289078858.0,7.1,5.0
288799107.0,7.3,1.0
288799107.0,7.3,1.0
288799107.0,7.3,1.0
288799107.0,7.3,1.0
288799107.0,7.3,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
288038475.0,6.7,1.0
287394370.0,6.6,2.0
287367478.0,7.3,1.0
287367478.0,7.3,1.0
287367478.0,7.3,1.0
287367478.0,7.3,1.0
286561024.0,6.2,1.0
286561024.0,6.2,1.0
286561024.0,6.2,1.0
286561024.0,6.2,1.0
285788422.0,6.8,5.0
285339619.0,6.5,2.0
285206630.0,7.8,4.0
284302363.0,7.5,2.0
284206751.0,7.0,23.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283785413.0,6.9,1.0
283561854.0,6.8,6.0
283357195.0,6.2,2.0
283170171.0,7.0,7.0
282075779.0,6.5,4.0
281498204.0,6.2,2.0
279586387.0,6.2,2.0
279156567.0,6.5,2.0
279068969.0,5.9,2.0
278879853.0,6.6,2.0
278357022.0,7.0,8.0
278271367.0,6.6,3.0
278005955.0,6.8,4.0
276930577.0,7.8,2.0
276197444.0,7.0,8.0
275985375.0,5.5,1.0
275985375.0,5.5,1.0
275800251.0,6.4,3.0
275790339.0,6.9,3.0
275711115.0,6.6,2.0
275427542.0,6.9,5.0
275200822.0,7.5,4.0
275181712.0,6.8,3.0
274956431.0,7.2,3.0
274755593.0,6.7,2.0
274752569.0,7.0,4.0
274751349.0,7.5,1.0
274751349.0,7.5,1.0
274751349.0,7.5,1.0
274751349.0,7.5,1.0
274616036.0,6.6,1.0
274616036.0,6.6,1.0
274616036.0,6.6,1.0
274088682.0,7.3,5.0
273662596.0,6.8,2.0
273613699.0,7.0,8.0
271693778.0,7.2,1.0
271693778.0,7.2,1.0
271693778.0,7.2,1.0
271693778.0,7.2,1.0
271326622.0,7.4,2.0
271270758.0,6.9,2.0
271235632.0,6.5,3.0
270875712.0,6.5,4.0
269207215.0,7.1,3.0
268997230.0,7.2,8.0
268779968.0,6.4,2.0
268419157.0,6.6,9.0
268392103.0,6.0,2.0
267330890.0,7.4,2.0
267257508.0,6.0,2.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266735049.0,6.9,1.0
266372717.0,6.3,6.0
265452789.0,6.4,4.0
264520204.0,6.8,2.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
264275991.0,8.7,1.0
263946327.0,7.4,1.0
263946327.0,7.4,1.0
263946327.0,7.4,1.0
263946327.0,7.4,1.0
263946327.0,7.4,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
263837177.0,8.3,1.0
262811316.0,7.8,2.0
262111470.0,7.1,2.0
261528006.0,7.2,2.0
261444926.0,6.8,7.0
261166262.0,7.6,2.0
261054952.0,6.7,3.0
259903471.0,6.6,6.0
259768830.0,8.2,1.0
259768830.0,8.2,1.0
259768830.0,8.2,1.0
259676308.0,6.2,2.0
258928523.0,6.9,4.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258428255.0,6.6,1.0
258127939.0,7.0,4.0
257619092.0,7.0,5.0
257363272.0,6.6,3.0
256157837.0,7.2,3.0
255746566.0,7.0,2.0
255663379.0,6.1,2.0
255338380.0,6.6,15.0
255276351.0,7.0,1.0
255276351.0,7.0,1.0
255276351.0,7.0,1.0
255276351.0,7.0,1.0
254822510.0,7.4,11.0
254536145.0,7.4,2.0
253727495.0,6.7,5.0
253550813.0,7.8,1.0
253550813.0,7.8,1.0
253550813.0,7.8,1.0
253550813.0,7.8,1.0
253550813.0,7.8,1.0
253550813.0,7.8,1.0
252790574.0,6.4,2.0
251921119.0,7.2,6.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251556920.0,7.3,1.0
251147629.0,6.9,17.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250803874.0,6.0,1.0
250657323.0,6.3,5.0
249509325.0,6.8,3.0
249344692.0,7.4,3.0
249180199.0,7.9,6.0
